NAME,POSITION,LEAGUE,actual_eur_m,predicted_eur_m,gap_pct,base_value_log,APPS,MINS,ATT_GOALS,ATT_XG,ATT_GOALS VS XG,ATT_SHOTS,ATT_SOT,ATT_CONV %,ATT_XG PER SHOT,CAR_TOTAL (ALL CARRIES),CAR_DISTANCE (M) (ALL CARRIES),CAR_AVG (M) (ALL CARRIES),CAR_TOTAL (PROGRESSIVE),CAR_DISTANCE (M) (PROGRESSIVE),CAR_AVG (M) (PROGRESSIVE),CAR_ENDED WITH SHOT,CAR_ENDED WITH GOAL,CAR_ENDED WITH CHANCE,CAR_ENDED WITH ASSIST,DEF_TACKLES,DEF_INTS,DEF_POS WON,DEF_BLOCKS,DEF_CLEARANCES,DEF_TOTAL (GROUND DUELS),DEF_WON (GROUND DUELS),DEF_% (GROUND DUELS),DEF_TOTAL (AERIAL DUELS),DEF_WON (AERIAL DUELS),DEF_% (AERIAL DUELS),PAS_TOTAL (OPEN PLAY PASSES),PAS_SUCCESSFUL (OPEN PLAY PASSES),PAS_% (OPEN PLAY PASSES),PAS_TOTAL (FINAL THIRD PASSES),PAS_SUCCESSFUL (FINAL THIRD PASSES),PAS_% (FINAL THIRD PASSES),PAS_TOTAL (CROSSES),PAS_SUCCESSFUL (CROSSES),PAS_% (CROSSES),PAS_THROUGH BALLS,Age,CONTRACT_YEARS_LEFT,CLUB_STRENGTH,LEAGUE_Bundesliga,LEAGUE_La Liga,LEAGUE_Ligue 1,LEAGUE_Multi-league,LEAGUE_Premier League,LEAGUE_Serie A,POSITION_AM,POSITION_CB,POSITION_CM,POSITION_DM,POSITION_FB,POSITION_ST,POSITION_W
Khéphren Thuram,CM,Serie A,38.0,27.939196118152903,-26.475799689071305,2.2959134578704834,-0.004046711605042219,0.11008608341217041,-0.013165833428502083,0.014740724116563797,0.0020208682399243116,0.014405651018023491,0.005289128050208092,0.0056800637394189835,-0.005190804600715637,0.049972642213106155,0.011473653838038445,0.0036432226188480854,0.0016184072010219097,-0.0041670361533761024,0.020561322569847107,-0.0009534044074825943,-0.0020714255515486,0.007473177742213011,0.02644292637705803,-0.0027308687567710876,0.00040799877024255693,0.010794326663017273,0.0015188819961622357,-0.0004588018637150526,-0.0008942277636379004,0.0001613078493392095,0.005703327711671591,0.0041939690709114075,0.0018066022312268615,-0.0025841614697128534,-0.002507326891645789,-0.002296253340318799,-0.00746960612013936,0.012819838710129261,0.04039498046040535,0.012506077066063881,0.016838563606142998,0.0007721538422629237,0.005151030141860247,0.034471794962882996,0.1725374162197113,-0.008388407528400421,0.5551431179046631,-0.0005294386646710336,0.007996049709618092,6.967164154048078e-06,0.0,-0.036273036152124405,0.0,-0.0002808051067404449,-0.0003264068509452045,-0.0031919393222779036,-8.573863306082785e-05,0.008545505814254284,3.629336424637586e-05,0.0016792071983218193
Giorgio Scalvini,CB,Serie A,38.0,20.96781941311512,-44.82152786022337,2.3067269325256348,0.0048585617914795876,0.037919286638498306,-0.009405581280589104,0.0068845199421048164,0.001443508779630065,0.0011546668829396367,0.003499056212604046,0.007157475687563419,0.013173654675483704,-0.004071731120347977,-0.001735885627567768,-0.0005188222276046872,-0.0016603096155449748,-0.00038947362918406725,0.01871572434902191,8.287146920338273e-05,-0.0013812266988679767,-0.0018866902682930231,-0.007258928846567869,-0.0018902933225035667,0.0026925031561404467,-0.00473483232781291,-0.0035981638357043266,-0.005403484683483839,8.979762787930667e-05,-0.001189514878205955,-0.0027298820205032825,0.000419377553043887,0.0016329732025042176,0.02565491572022438,0.014293128624558449,0.00571979396045208,0.003938197158277035,0.004497775807976723,0.012466121464967728,0.016822338104248047,0.008145421743392944,0.0011398568749427795,0.0013666001614183187,-0.007772158365696669,0.25040188431739807,-0.028206398710608482,0.4245312213897705,0.00029111222829669714,0.016446933150291443,0.0010812964756041765,0.0,-0.032440561801195145,0.0003779022954404354,-4.683807856054045e-05,0.0,5.2279156079748645e-05,-0.00011564827582333237,0.012237467803061008,0.0,0.00010047497926279902
Bruno Fernandes,AM,Premier League,35.0,12.040972877537769,-65.5972203498921,2.2959134578704834,-0.010548694990575314,0.11383086442947388,0.01785418577492237,0.01220784056931734,0.0017760912887752056,0.01674635522067547,0.008026765659451485,0.004211373161524534,0.010345530696213245,-0.004449645522981882,0.0018451292999088764,0.00347313703969121,-0.0013831438263878226,0.002035444602370262,0.020235836505889893,-0.0010992215247824788,-0.00353214330971241,0.010999228805303574,0.039037708193063736,-0.0013650580076500773,0.002190278610214591,0.007190312258899212,0.0021290858276188374,-0.006331497337669134,-0.00169086130335927,-3.853221278404817e-05,-0.007158505264669657,0.0024418288376182318,0.0007431040285155177,-0.0046000308357179165,-0.0046291956678032875,-0.007215193472802639,-0.0064568305388092995,0.043062254786491394,0.04674370586872101,-0.0024617190938442945,-0.013899755664169788,-0.0031657028011977673,-0.013823472894728184,0.15923689305782318,-0.7184697389602661,-0.04964221641421318,0.4447043836116791,-0.0005294386646710336,0.0032598846592009068,0.0011357744224369526,0.0,0.14677304029464722,0.0,0.004599420819431543,-0.0003264068509452045,0.0017055084463208914,-8.573863306082785e-05,0.003963558003306389,0.0008996640099212527,0.0016792071983218193
Sven Botman,CB,Premier League,35.0,25.145893466759652,-28.15459009497242,2.3183977603912354,0.0027502470184117556,0.01736762933433056,-0.014210869558155537,-0.00968671590089798,0.0021891635842621326,-0.01227885577827692,-0.013019278645515442,0.0049814991652965546,0.011018900200724602,0.014883873984217644,-0.00041407463140785694,9.414633677806705e-05,0.001550559769384563,-0.007199892308562994,0.02180040255188942,-0.00010831779218278825,-0.0014175549149513245,0.0008084244327619672,-0.007882816717028618,-0.0016457736492156982,-0.002249185461550951,0.003704814938828349,-0.0041379122994840145,-0.018199458718299866,0.0020418905187398195,-0.0010862424969673157,0.012628551572561264,-0.008035337552428246,-0.0029721001628786325,0.004242630209773779,0.01559515856206417,-0.004531878978013992,-0.003195012453943491,-0.015575372613966465,-0.018447672948241234,-0.0337149016559124,0.01635964773595333,0.004952209535986185,0.00833918061107397,-0.015385795384645462,0.14646929502487183,0.03852749615907669,0.578227162361145,2.111551475536544e-05,0.00996316410601139,7.867800741223618e-05,0.0,0.20779606699943542,-0.00013104520621709526,-0.000174947694176808,0.0033663641661405563,0.00020237709395587444,0.0,0.011035260744392872,0.0,0.0
Alessandro Buongiorno,CB,Serie A,35.0,19.143771155469256,-45.30351098437355,2.304319143295288,-0.0012149517424404621,0.11737588793039322,-0.009711898863315582,-0.01281576044857502,-0.005156273487955332,-0.01362774707376957,-0.012573674321174622,0.0009367539896629751,0.01611015945672989,0.012078676372766495,-0.00010245817247778177,0.005998548585921526,1.1714044376276433e-05,0.0006733780610375106,0.030505239963531494,0.0037050244864076376,-0.0005789932329207659,-0.002103435806930065,-0.008317380212247372,0.00020969539764337242,0.0009536634315736592,-0.00013761091395281255,0.00031403821776621044,-0.01824592612683773,-0.0024035240057855844,8.990700007416308e-05,-0.001859634998254478,0.004519402515143156,0.010175235569477081,0.020945288240909576,0.008235868066549301,0.03318729251623154,0.04006342589855194,-0.004166905302554369,-0.02754979580640793,0.008663076907396317,0.010487888939678669,0.003083249321207404,-0.0063209752552211285,-0.005177700892090797,0.09072963148355484,-0.02861684560775757,0.45234987139701843,0.0,0.008703301660716534,-0.00022165305563248694,0.0,-0.03447901830077171,-0.0006716735661029816,-0.00033871529740281403,0.0,0.0,-0.0002960248093586415,0.014927356503903866,0.00022922098287381232,0.0
Jean-Philippe Mateta,ST,Premier League,35.0,19.660418083463686,-43.82737690438947,2.3183977603912354,-3.009845386259258e-06,0.11765065789222717,0.0766477957367897,0.07082603871822357,-0.02608347311615944,0.009598265402019024,0.030302179977297783,0.0120645547285676,0.03941285237669945,-0.022145019844174385,-0.0024494710378348827,0.00864382553845644,0.0034788011107593775,0.011593769304454327,0.01884634792804718,-0.004493117332458496,-0.0009759257081896067,-0.0016035910230129957,-0.012325246818363667,-0.0008739599143154919,0.0016806432977318764,-0.004146615043282509,-0.0006617935723625124,-0.020788799971342087,-0.0010382314212620258,-0.0027582410257309675,0.00040128035470843315,-0.04927895590662956,-0.0057282703928649426,-0.0036081529688090086,-0.005972610786557198,-0.008313446305692196,-0.005602614022791386,-0.014140276238322258,-0.015382451005280018,-0.024030212312936783,0.014799040742218494,0.000800343812443316,-0.013657481409609318,0.0010767558123916388,-0.08899670094251633,-0.03250253200531006,0.49297550320625305,1.31061797219445e-05,0.009867635555565357,1.1599452591326553e-05,0.0,0.15243355929851532,-0.0006779844406992197,-0.0008888381416909397,-0.0008614679099991918,0.00024872462381608784,0.0,0.006437739357352257,0.0,0.0
Jeremie Frimpong,FB,Premier League,35.0,25.31712956094266,-27.6653441115924,2.2959134578704834,0.00801569502800703,-0.07169496268033981,-0.011536110192537308,-0.009899281896650791,0.00045903268619440496,-0.0021617228630930185,-0.0051285759545862675,-0.017876803874969482,-0.01845662109553814,0.025353139266371727,0.005982882343232632,0.003605061676353216,0.007366349454969168,-0.00044166017323732376,-0.025807498022913933,0.0005720390472561121,-0.0019283213187009096,0.028987007215619087,0.024909209460020065,0.00032227765768766403,0.0012917777057737112,0.01298800203949213,-0.001236781827174127,-0.003399682231247425,6.298457446973771e-05,0.0022902314085513353,-0.0024915526155382395,0.0016385873313993216,0.002543193520978093,-0.0011713430285453796,-0.003749490948393941,-0.004402949009090662,-0.005847202613949776,0.020217232406139374,0.058306511491537094,0.020111314952373505,-0.01587938889861107,-0.0033164480701088905,0.005062987562268972,-0.02169000543653965,0.13462375104427338,0.05717356130480766,0.612970769405365,-0.0005294386646710336,0.006591718178242445,0.0010927519761025906,0.0,0.1955861896276474,0.0,-0.00020473504264373332,-0.00026674350374378264,0.0011227534851059318,-6.285571726039052e-05,-0.03747682273387909,3.629336424637586e-05,0.0016792071983218193
Jamie Gittens,W,Premier League,35.0,19.739653797239626,-43.60098915074392,2.2959134578704834,-0.003619658760726452,-0.19729258120059967,-0.00889804121106863,0.007242729887366295,-0.0033299855422228575,0.014520625583827496,0.0015861773863434792,-0.02045692503452301,-0.0005740331835113466,0.037903934717178345,0.005000355653464794,-0.02402118407189846,0.003130652941763401,0.00043745560105890036,-0.1609426736831665,0.003639264265075326,-0.0019113279413431883,0.00556500069797039,0.01689988188445568,-0.0012034178944304585,0.00402814382687211,0.0005877163494005799,0.0021840818226337433,0.019759656861424446,0.0001618061651242897,0.0005415008054114878,0.017005901783704758,0.00407044542953372,0.0026093879714608192,-0.0018797004595398903,-0.0013888096436858177,-0.0023655465338379145,-0.0053422418422997,-0.005997407715767622,0.010959102772176266,0.002245520707219839,-0.01278448011726141,-0.0014605693286284804,0.0016026338562369347,0.014357425272464752,0.20733053982257843,0.05783329904079437,0.5702818036079407,-0.0005294386646710336,0.0057124062441289425,6.967164154048078e-06,0.0,0.1680336892604828,0.0,-0.00025682878913357854,-0.00026674350374378264,0.00016765869804657996,-6.285571726039052e-05,0.00833046529442072,4.271013312973082e-05,-0.003060830058529973
Kiernan Dewsbury-Hall,CM,Premier League,35.0,25.58897343403053,-26.888647331341335,2.3067269325256348,0.0004188435268588364,0.1752571314573288,0.03281514346599579,0.005835799500346184,-0.0013638108503073454,0.014359811320900917,0.01818542741239071,-0.0008851706515997648,0.011370664462447166,-0.007100879680365324,0.0017684539780020714,0.0032616276293992996,-0.0019136647460982203,0.0014252217952162027,0.01922563835978508,-0.0014841974480077624,0.0050317756831645966,0.0010508931009098887,0.0018470444483682513,-0.0032581081613898277,0.0018567749066278338,-0.001495142700150609,0.0012070112861692905,0.0011235862039029598,0.001592570566572249,0.0007863139035180211,-0.0016149585135281086,0.006973695941269398,-0.0020493315532803535,-0.0037691062316298485,-0.004896860104054213,-0.0030122119933366776,-0.002354925964027643,0.037158239632844925,0.017769107595086098,0.016142645850777626,-0.010076622478663921,-0.00032616156386211514,0.0019490720005705953,0.022861871868371964,-0.009646477177739143,0.05036477744579315,0.39651018381118774,0.00029111222829669714,0.012983614578843117,4.532056482275948e-05,0.0,0.16183331608772278,-0.00013916418538428843,-4.683807856054045e-05,0.0,-0.00012527499347925186,-0.00015609830734319985,0.006081514060497284,0.0,0.00010047497926279902
Lucas Bergvall,CM,Premier League,35.0,25.461889768078837,-27.251743519774752,2.2959134578704834,0.00600706972181797,-0.10756609588861465,-0.011316968128085136,0.007132011000066996,3.629137063398957e-05,-0.006580363493412733,0.0065266587771475315,0.008350505493581295,0.010802910663187504,-0.007059864699840546,0.0047043925151228905,-0.0031559409108012915,0.00045696384040638804,0.0036758515052497387,-0.04498796910047531,-0.0010844264179468155,-0.0020118718966841698,-0.005329345352947712,0.02728249691426754,-0.0027489271014928818,0.0002234221319667995,0.0025724018923938274,0.0026435181498527527,-0.004618963226675987,0.0006300378008745611,-0.0034632792230695486,-0.0007840570760890841,0.0040802303701639175,0.00229162210598588,-0.0036254103761166334,-0.0034917383454740047,0.00033363301190547645,-0.007234108168631792,-0.005855337250977755,0.0007486996473744512,-0.005030910484492779,-0.014916561543941498,-0.00013777546701021492,0.003533134935423732,0.013002743944525719,0.24949254095554352,0.05012349411845207,0.6111632585525513,-0.0012802645796909928,0.006434920709580183,6.967164154048078e-06,0.0,0.1897583156824112,0.0,-0.0004036580794490874,-0.00026674350374378264,-0.0003735931823030114,-4.01066463382449e-05,0.009420014917850494,4.271013312973082e-05,0.0016792071983218193
