CLUB,STATUS,MATCHED_NAME,LEAGUE,SQUAD_MARKET_VALUE_M_EUR,CLUB_URL
Stade Brestois 29,OK,Stade Brestois 29,Ligue 1,69.6,https://www.transfermarkt.com/stade-brest-29/startseite/verein/3911
Torino FC,OK,Torino FC,Serie A,177.1,https://www.transfermarkt.com/fc-turin/startseite/verein/416
US Lecce,OK,US Lecce,Serie A,82.65,https://www.transfermarkt.com/us-lecce/startseite/verein/1005
US Sassuolo,OK,US Sassuolo,Serie A,198.95,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574
Venezia FC,OK,Venezia FC,Serie A,116.15,https://www.transfermarkt.com/venezia-fc/startseite/verein/607
1.FC Heidenheim 1846,OK,1.FC Heidenheim 1846,2. Bundesliga,37.9,https://www.transfermarkt.com/1-fc-heidenheim-1846/startseite/verein/2036
1.FC Kaiserslautern,OK,1.FC Kaiserslautern,2. Bundesliga,34.15,https://www.transfermarkt.com/1-fc-kaiserslautern/startseite/verein/2
AC Sparta Praha,OK,AC Sparta Praha,Chance Liga,83.15,https://www.transfermarkt.com/ac-sparta-prag/startseite/verein/197
AEK Athens,OK,AEK Athens,Super League 1,86.2,https://www.transfermarkt.com/aek-athen/startseite/verein/2441
Abha Club,OK,Abha Club,Saudi Pro League,20.72,https://www.transfermarkt.com/abha-club/startseite/verein/40039
Ajax Amsterdam,OK,Ajax Amsterdam,Eredivisie,228.7,https://www.transfermarkt.com/ajax-amsterdam/startseite/verein/610
Al-Ain FC,OK,Al-Ain FC,UAE Pro League,35.68,https://www.transfermarkt.com/al-ain-fc/startseite/verein/2150
Al-Diriyah FC,OK,Al-Diriyah FC,Saudi Pro League,71.1,https://www.transfermarkt.com/al-diriyah/startseite/verein/52358
Al-Gharafa SC,OK,Al-Gharafa SC,Qatar Stars League,28.33,https://www.transfermarkt.com/al-gharafa-sc/startseite/verein/6297
Al-Hilal SFC,OK,Al-Hilal SFC,Saudi Pro League,239.88,https://www.transfermarkt.com/al-hilal-riad/startseite/verein/1114
Al-Ittihad SC,OK,Al-Ittihad SC,Libyan Premier League,13.01,https://www.transfermarkt.com/al-ittihad-tripoli/startseite/verein/13505
Al-Jazira Club,OK,Al-Jazira Club,UAE Pro League,77.63,https://www.transfermarkt.com/al-jazira-abu-dhabi-/startseite/verein/2524
Al-Khaleej FC,OK,Al-Khaleej FC,Saudi Pro League,22.1,https://www.transfermarkt.com/al-khaleej/startseite/verein/6070
Al-Nasr SC (UAE),OK,Al-Nasr SC (UAE),UAE Pro League,30.58,https://www.transfermarkt.com/al-nasr-dubai-/startseite/verein/5432
Al-Nassr FC,OK,Al-Nassr FC,Saudi Pro League,136.58,https://www.transfermarkt.com/al-nasr-riad/startseite/verein/18544
Al-Qadsiah FC,OK,Al-Qadsiah FC,Saudi Pro League,152.3,https://www.transfermarkt.com/al-qadisiyah-fc/startseite/verein/26069
Al-Sadd SC,OK,Al-Sadd SC,Qatar Stars League,78.25,https://www.transfermarkt.com/al-sadd-sc/startseite/verein/656
Al-Shabab FC,OK,Al-Shabab FC,Saudi Pro League,45.35,https://www.transfermarkt.com/al-shabab-riad/startseite/verein/9840
Al-Shamal SC,OK,Al-Shamal SC,Qatar Stars League,22.48,https://www.transfermarkt.com/al-shamal/startseite/verein/10775
Al-Wasl SC,OK,Al-Wasl SC,UAE Pro League,57.11,https://www.transfermarkt.com/al-wasl-sports-club/startseite/verein/16214
Amed SK,OK,Amed SK,Süper Lig,27.63,https://www.transfermarkt.com/amed-sk/startseite/verein/12382
Aris Thessaloniki,OK,Aris Thessaloniki,Super League 1,43.35,https://www.transfermarkt.com/aris-thessaloniki/startseite/verein/605
Atlanta United FC,OK,Atlanta United FC,Major League Soccer,59.3,https://www.transfermarkt.com/atlanta-united-fc/startseite/verein/51663
