NAME,LEAGUE,STATUS,MATCH_METHOD,MATCHED_NAME,MATCHED_CLUB,TM_MARKET_VALUE_M_EUR,AGE,POSITION,POSITION_RAW,CONTRACT_EXPIRY,PROFILE_URL
Aaron Hickey,Premier League,OK,league,Aaron Hickey,Brentford FC,16.0,24,FB,Right-Back,2028,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949
Aaron Wan-Bissaka,Premier League,OK,league,Aaron Wan-Bissaka,Aston Villa,15.0,28,FB,Right-Back,2027,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
Aaron Zehnter,Bundesliga,OK,league,Aaron Zehnter,VfL Wolfsburg,5.0,21,FB,Left-Back,2030,https://www.transfermarkt.com/aaron-zehnter/profil/spieler/730484
Aarón Martín,Serie A,NEEDS_REVIEW,,Aarón Martin,Kalamata FC,800.0,,,,,
Abdallah Sima,Ligue 1,OK,league,Abdallah Sima,RC Lens,5.0,25,W,Left Winger,2029,https://www.transfermarkt.com/abdallah-sima/profil/spieler/776798
Abde Ezzalzouli,La Liga,OK,league,Abde Ezzalzouli,Real Betis Balompié,40.0,24,W,Left Winger,2029,https://www.transfermarkt.com/abde-ezzalzouli/profil/spieler/724520
Abde Rebbach,La Liga,OK,league,Abde Rebbach,Deportivo Alavés,2.5,28,W,Left Winger,2028,https://www.transfermarkt.com/abde-rebbach/profil/spieler/718034
Abdel Abqar,La Liga,OK,league,Abdel Abqar,Getafe CF,3.5,27,CB,Centre-Back,2028,https://www.transfermarkt.com/abdel-abqar/profil/spieler/559979
Abdelhamid Aït Boudlal,Ligue 1,OK,league,Abdelhamid Ait Boudlal,Stade Rennais FC,12.0,20,CB,Centre-Back,2028,https://www.transfermarkt.com/abdelhamid-ait-boudlal/profil/spieler/1134251
Abdou Harroui,Serie A,OK,league,Abdou Harroui,Hellas Verona,1.6,28,CM,Central Midfield,2028,https://www.transfermarkt.com/abdou-harroui/profil/spieler/416386
Abdoul Ouattara,Ligue 1,OK,unique_name,Abdoul Ouattara,Ipswich Town,15.0,20,FB,Right-Back,2031,https://www.transfermarkt.com/abdoul-ouattara/profil/spieler/991487
Abdoulaye Faye,Ligue 1,OK,unique_name,Abdoulaye Faye,Celta de Vigo,4.5,21,CB,Centre-Back,2027,https://www.transfermarkt.com/abdoulaye-faye/profil/spieler/1182738
Abdoulaye Ndiaye,Serie A,OK,league,Abdoulaye Ndiaye,Parma Calcio 1913,6.0,24,CB,Centre-Back,2029,https://www.transfermarkt.com/abdoulaye-ndiaye/profil/spieler/673514
Abdoulaye Touré,Ligue 1,NEEDS_REVIEW,,Abdoulaye Toure,Al-Nasr SC (UAE),450.0,,,,,
Abdukodir Khusanov,Premier League,OK,league,Abdukodir Khusanov,Manchester City,50.0,22,CB,Centre-Back,2031,https://www.transfermarkt.com/abdukodir-khusanov/profil/spieler/763079
Abel Bretones,La Liga,OK,league,Abel Bretones,CA Osasuna,3.5,26,FB,Left-Back,2029,https://www.transfermarkt.com/abel-bretones/profil/spieler/658115
Abner Vinícius,Ligue 1,OK,unique_name,Abner Vinicius,Without Club,75.0,23,W,Left Winger,,https://www.transfermarkt.com/abner-vinicius/profil/spieler/1083634
Aboubakar Nagida,Ligue 1,NEEDS_REVIEW,,Mahamadou Nagida,Stade Rennais FC,7.0,,,,,
Abu Francis,Ligue 1,OK,league,Abu Francis,FC Toulouse,2.0,25,CM,Central Midfield,2029,https://www.transfermarkt.com/abu-francis/profil/spieler/658533
Achraf Hakimi,Ligue 1,OK,league,Achraf Hakimi,Paris Saint-Germain,80.0,27,FB,Right-Back,2029,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073
Adam Armstrong,Premier League,OK,league,Adam Armstrong,Wolverhampton Wanderers,6.0,29,ST,Centre-Forward,2029,https://www.transfermarkt.com/adam-armstrong/profil/spieler/250426
Adam Buksa,Serie A,OK,unique_name,Adam Buksa,RCD Mallorca,3.5,30,ST,Centre-Forward,2027,https://www.transfermarkt.com/adam-buksa/profil/spieler/267160
Adam Daghim,Bundesliga,OK,league,Adam Daghim,TSG 1899 Hoffenheim,7.5,20,W,Right Winger,,https://www.transfermarkt.com/adam-daghim/profil/spieler/881297
Adam Dzwigala,Bundesliga,OK,league,Adam Dzwigala,FC St. Pauli,800.0,30,CB,Centre-Back,2027,https://www.transfermarkt.com/adam-dzwigala/profil/spieler/236966
Adam Karabec,Ligue 1,OK,unique_name,Adam Karabec,AC Sparta Praha,7.0,23,AM,Attacking Midfield,,https://www.transfermarkt.com/adam-karabec/profil/spieler/652061
Adam Marusic,Serie A,OK,league,Adam Marusic,SS Lazio,2.5,33,FB,Right-Back,2028,https://www.transfermarkt.com/adam-marusic/profil/spieler/239802
Adam Obert,Serie A,OK,league,Adam Obert,Cagliari Calcio,7.0,24,FB,Left-Back,2030,https://www.transfermarkt.com/adam-obert/profil/spieler/568333
Adam Smith,Premier League,OK,league,Adam Smith,AFC Bournemouth,300.0,35,FB,Right-Back,2027,https://www.transfermarkt.com/adam-smith/profil/spieler/61841
Adama Boiro,La Liga,OK,unique_name,Adama Boiro,West Ham United,2.5,24,FB,Left-Back,2027,https://www.transfermarkt.com/adama-boiro/profil/spieler/710671
Adama Camara,Ligue 1,OK,league,Adama Camara,Paris FC,3.0,29,FB,Right-Back,2027,https://www.transfermarkt.com/adama-camara/profil/spieler/973949
